   40 1134    11.340
   44 1055    10.550
  108  854    8.540
  116  838    8.380
  159  833    8.330
   36  779    7.790
  191  732    7.320
   49  569    5.690
  634  550    5.500
  156  475    4.750
   35  467    4.670
  207  453    4.530
  651  448    4.480
 3245  404    4.040
  250  386    3.860
 2625  379    3.790
 1093  354    3.540
  163  343    3.430
  405  337    3.370
  833  334    3.340
 1100  333    3.330
   27  332    3.320
  212  327    3.270
  112  326    3.260
 6365  325    3.250
 1302  321    3.210
  214  311    3.110
  148  310    3.100
  102  306    3.060
  146  301    3.010
  209  299    2.990
 6991  296    2.960
 1076  292    2.920
  446  289    2.890
 1878  282    2.820
  719  274    2.740
  195  272    2.720
 2812  271    2.710
  176  270    2.700
 1143  270    2.700
 2349  270    2.700
  210  267    2.670
 2896  267    2.670
 1875  266    2.660
  143  264    2.640
    3  259    2.590
 6895  257    2.570
 7170  256    2.560
   30  254    2.540
  676  253    2.530
 2904  253    2.530
 2850  248    2.480
  680  242    2.420
  241  241    2.410
10346  230    2.300
    7  230    2.300
 1082  228    2.280
 2829  228    2.280
  174  228    2.280
 1386  227    2.270
 1877  226    2.260
 2953  225    2.250
 6923  225    2.250
 2893  221    2.210
  620  218    2.180
 2314  218    2.180
  901  215    2.150
 2880  214    2.140
  262  214    2.140
13909  213    2.130
 6640  213    2.130
 6589  212    2.120
  301  211    2.110
  161  210    2.100
 1876  210    2.100
  229  210    2.100
  144  210    2.100
  168  209    2.090
  189  207    2.070
 2934  206    2.060
 9574  206    2.060
 2189  205    2.050
 2819  204    2.040
 2811  203    2.030
 2874  202    2.020
  661  202    2.020
 1914  202    2.020
 6908  201    2.010
 1057  201    2.010
 1864  198    1.980
 9577  198    1.980
 2278  194    1.940
 1168  193    1.930
 3596  192    1.920
 1318  192    1.920
10350  191    1.910
  417  190    1.900
 2881  190    1.900
 2218  190    1.900
  295  190    1.900
  637  190    1.900
 8946  189    1.890
 2868  188    1.880
 6933  188    1.880
  527  187    1.870
  375  186    1.860
 1501  185    1.850
  157  184    1.840
  277  184    1.840
  659  183    1.830
  349  181    1.810
 1307  180    1.800
 1880  179    1.790
10344  178    1.780
 2816  178    1.780
 1898  177    1.770
 1860  176    1.760
 2966  176    1.760
  948  175    1.750
 1304  175    1.750
   80  175    1.750
10614  174    1.740
 4841  173    1.730
 2823  173    1.730
 2929  173    1.730
 1013  173    1.730
 2915  173    1.730
  646  172    1.720
 2822  172    1.720
  298  172    1.720
10375  172    1.720
  638  172    1.720
  164  172    1.720
  652  171    1.710
  155  171    1.710
 2844  170    1.700
